,Tweet,ID,Length,Source,Favourites,Reweet_count,Timestamp,sentiment,popularity,sentimentValue
73,"RT @LexiDesignsShop: So I posted a Home Screen earlier this morning and ended up deleting it. Didn’t feel it was good enough. 

This one I’…",1565880396000432129,140,Twitter for Android,0,2,2022-09-03 01:52:33+00:00,1,Positive,0.2333333333333333
74,"So I posted a Home Screen earlier this morning and ended up deleting it. Didn’t feel it was good enough. 

This one… https://t.co/nc50ffI2qs",1565878554851778561,140,Twitter for iPhone,7,2,2022-09-03 01:45:14+00:00,1,Positive,0.2333333333333333
75,#iOS16  esta muy cerca 😍😍😍😍😍,1565877377695195136,28,Twitter for iPhone,0,0,2022-09-03 01:40:34+00:00,0,Neutral,0.0
76,"inside M2 MacBook Air Wallpapers Download 👇🏼

https://t.co/febgFvChCB

#apple #iOS16 #iphone14 #iphone14pro… https://t.co/cIsDFGklxA",1565877281159249921,132,Twitter for iPhone,1,0,2022-09-03 01:40:11+00:00,0,Neutral,0.0
77,"RT @isiosstable: 📊iOS 16 Beta 8 - 5 Day Stability Score

🔋Battery Drain - 10/10
❄️Temperature - 10/10
📱App Crash - 10/10
🆕 New Feature Usab…",1565872076157849606,140,Twitter for iPhone,0,1,2022-09-03 01:19:30+00:00,1,Positive,0.13636363636363635
78,@apple I lost a bunch of contacts w new #IOS16 #update. Noticed that any contact that was not saved as an iPhone (e… https://t.co/iGvm5GW2Qt,1565868477805580288,140,Twitter for iPhone,0,0,2022-09-03 01:05:12+00:00,1,Positive,0.13636363636363635
79,RT @whatsmyeta: With #iOS16 on our doorstep we're excited to open up a public beta to test out our awesome Lock Screen widgets. The TestFli…,1565868103149309952,140,Twitter for iPhone,0,6,2022-09-03 01:03:42+00:00,1,Positive,0.34375
80,"The world is like a mirror: Frown at itand it frowns at you; smile, and it smiles too. #USDT #BUSD #Giveaway #ETH… https://t.co/mjx93E3qTe",1565867439153242113,139,twty,0,0,2022-09-03 01:01:04+00:00,1,Positive,0.3
81,"Theme – @TeboulDavid1 🫧
Wall – @TeboulDavid1 💥
Icons – @boots6972 🥹

Brought to you by: @SeanKly &amp; the ShowLive tea… https://t.co/fqkj1NV6Zq",1565867392038801408,144,Twitter for iPhone,3,1,2022-09-03 01:00:53+00:00,0,Neutral,0.0
82,「#iOS16」リリースに備える--「#iPhone」のアップデートを円滑にする準備事項（ZDNet Japan） https://t.co/gLkM3ioFVJ,1565865315460055040,81,Twitter Web App,0,0,2022-09-03 00:52:38+00:00,0,Neutral,0.0
83,"iOS 16 &amp; Android 13
🔒 Screen
Opinion?
#iOS16 #android13 https://t.co/4imwSazm94",1565864459477958656,83,Twitter for iPhone,0,1,2022-09-03 00:49:14+00:00,0,Neutral,0.0
84,RT @CNET: How to get the #iOS16 Beta on your iPhone. https://t.co/ibKgCkPH8b,1565861689832181761,76,Twitter for Android,0,2,2022-09-03 00:38:13+00:00,0,Neutral,0.0
85,How to get the #iOS16 Beta on your iPhone. https://t.co/ibKgCkPH8b,1565860626219651073,66,Twitter Media Studio,17,2,2022-09-03 00:34:00+00:00,0,Neutral,0.0
86,RT @alisayar_: #algofam look at this new cool way to make stickers on #iOS16 (and the @CosmicChamps #AlgorandNFT collection is perfect for…,1565852582018531328,139,Twitter for iPhone,0,5,2022-09-03 00:02:02+00:00,1,Positive,0.4954545454545454
87,The iCloud service unlock can be removed if you have access to iCloud account credentials and know how to get rid o… https://t.co/hgovQkJTUd,1565845819059621888,140,Twitter for Android,2,0,2022-09-02 23:35:09+00:00,0,Neutral,0.0
88,🎶 #iOS16 https://t.co/hbSeXW84LU,1565839909608636416,32,Twitter for iPhone,0,0,2022-09-02 23:11:41+00:00,0,Neutral,0.0
89,RT @delppy1_: Yo @SamsungUS 🤣🤣🤣🤣🤣.. Love it! Really love to see it 😂😂😂❤️❤️❤️ #teamgalaxy #ios16 #iPhone14 #iPhone14Pro #AppleEvent https://…,1565837387787386880,140,Twitter for iPhone,0,8,2022-09-02 23:01:39+00:00,1,Positive,0.5
90,RT @CZComputerZone: Have you heard about Passkeys? They’re here to make passwords obsolete – and Apple’s new iOS 16 might be first to use t…,1565837275711393792,140,CreatorRetweets,0,1,2022-09-02 23:01:13+00:00,1,Positive,0.19318181818181818
91,RT @whatsmyeta: With #iOS16 on our doorstep we're excited to open up a public beta to test out our awesome Lock Screen widgets. The TestFli…,1565837127484596225,140,Spring for Apple,0,6,2022-09-02 23:00:37+00:00,1,Positive,0.34375
92,Have you heard about Passkeys? They’re here to make passwords obsolete – and Apple’s new iOS 16 might be first to u… https://t.co/LQO9604PSU,1565837111374258176,140,Hootsuite Inc.,0,1,2022-09-02 23:00:33+00:00,1,Positive,0.19318181818181818
93,"iOS16の写真アプリ,保存している写真の人物を長押ししたら綺麗に切り抜かれた！･:*+.\(( °ω° ))/.:+
今までもだっけ？
とてつもなく便利！
#iOS16 #photo",1565835929105092608,92,Twitter for iPhone,0,0,2022-09-02 22:55:51+00:00,0,Neutral,0.0
94,#IOS16 Lock Screen https://t.co/E9sQLtnL3v,1565823189791522818,42,Twitter for iPhone,2,0,2022-09-02 22:05:14+00:00,0,Neutral,0.0
95,RT @yoonatic12: มี widget น้องแงวบนล็อกสกรีนแล้ว #iOS16 https://t.co/XklofYTmsq,1565820141128265728,79,Twitter for iPhone,0,3,2022-09-02 21:53:07+00:00,0,Neutral,0.0
96,RT @whatsmyeta: With #iOS16 on our doorstep we're excited to open up a public beta to test out our awesome Lock Screen widgets. The TestFli…,1565818553378414593,140,Tweetbot for iΟS,0,6,2022-09-02 21:46:49+00:00,1,Positive,0.34375
97,#iOS16 is amazing https://t.co/u974Q6FB1x,1565813333986803712,41,Twitter for iPhone,2,0,2022-09-02 21:26:04+00:00,1,Positive,0.6000000000000001
